department,reference_elepem_2024,public_unique_entities,public_to_reference_pct,msp_final_2026,mides_social_unique,mides_social_rows_recovered,msp_historical_unique,pacp_unique
Artigas,10,2,20.0,1,2,2,2,0
Canelones,316,95,30.1,5,23,24,86,1
Cerro Largo,15,5,33.3,1,2,2,5,0
Colonia,119,45,37.8,12,12,12,36,5
Durazno,31,19,61.3,1,4,4,19,0
Flores,16,8,50.0,1,2,2,7,0
Florida,46,23,50.0,4,4,5,18,1
Lavalleja,31,10,32.3,2,2,2,10,1
Maldonado,76,65,85.5,5,9,9,58,1
Montevideo,537,438,81.6,165,185,191,410,23
Paysandú,36,14,38.9,2,8,8,7,0
Río Negro,8,4,50.0,1,2,2,4,1
Rivera,26,3,11.5,0,0,0,3,0
Rocha,43,5,11.6,0,0,0,5,0
Salto,28,18,64.3,3,3,3,16,0
San José,60,32,53.3,6,10,10,26,2
Soriano,45,11,24.4,3,5,5,9,1
Tacuarembó,23,11,47.8,0,0,0,11,0
Treinta y Tres,15,2,13.3,0,0,0,2,0
