id,sources,source_external_ids,google_place_ids,name,department,locality,address,phone,website_url,lat,lng,operational_status,discovered_at,storage_policy,match_status,suggested_residencial_id,confidence,match_reasons,review_status,review_notes
RDC-883f28d0e0de0c2b,openstreetmap,openstreetmap:node/5635917122,,Casa,Canelones,,,,,-34.8136506,-56.0447186,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-8f7de37d85d4732a,openstreetmap,openstreetmap:way/110440392,,Hogar de ancianos,Canelones,,,,,-34.5179523,-56.2832691,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-ca5c93314d98aec3,openstreetmap,openstreetmap:way/1276230694,,Hogar de Ancianos,Canelones,,,,,-34.7052478,-55.946605,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-71348cad2596d9e7,openstreetmap,openstreetmap:node/11698609680,,Residencial Shangrilá,Canelones,,,,,-34.8574772,-56.0053932,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-90168b1715cb1ab6,openstreetmap,openstreetmap:node/12651112919,,Vitae Mentis,Canelones,,,+598 2601 8287,,-34.8661736,-56.0216185,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-80cfab3fa591ccb2,openstreetmap,openstreetmap:node/10633748914,,Centro Ombú,Montevideo,Montevideo,Bulevar España 2583,+598 92 454 889,https://www.centrodeladultomayor.com.uy/centro-ombu/,-34.9124463,-56.1582367,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0.5184,,pending,
RDC-114ec8af14bd8d6e,openstreetmap,openstreetmap:node/4127310293,,Cotolengo Don Orione,Montevideo,,,,,-34.8413484,-56.1978619,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-9e5d281f159a7c64,openstreetmap,openstreetmap:node/4403552224,,La Mia Casa,Montevideo,Montevideo,Avenida Agraciada 3592,,,-34.8664126,-56.2077899,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0.3924,73 m entre coordenadas,pending,
RDC-7d5cf0c90bd3f3a4,openstreetmap,openstreetmap:node/11032111730,,Residencial Myriam Martinez,Montevideo,,,,,-34.8406844,-56.1197265,,2026-07-31T23:58:07.008Z,open_data,new_candidate,,0,,pending,
RDC-1e8b2e51c8fd1bf5,openstreetmap,openstreetmap:way/1316164543,,Casa Di Riposo Italiana,Montevideo,,,,,-34.8904336,-56.1614096,,2026-07-31T23:58:07.008Z,open_data,possible_match,ELP-0334,0.88,nombre casi idéntico | nombre distintivo exacto,pending,
RDC-a94ee9e2c73be944,openstreetmap,openstreetmap:way/458159003,,La Maison,Montevideo,,26 de Marzo,,,-34.9068962,-56.1417017,,2026-07-31T23:58:07.008Z,open_data,possible_match,MSP24-111,0.6697,12 m entre coordenadas,pending,
RDC-0fc5b04b4ff39099,openstreetmap,openstreetmap:node/3053487191,,Los Álamos,Montevideo,Montevideo,Ibiray 2398,,,-34.9167954,-56.1618268,,2026-07-31T23:58:07.008Z,open_data,possible_match,ELP-0571,0.905,nombre distintivo exacto | dirección normalizada exacta | 6 m entre coordenadas,pending,
RDC-ba169c2669d2991a,openstreetmap,openstreetmap:node/5144543221,,Claro de Luna,Montevideo,,Santiago Gadea 3582,,,-34.8907025,-56.1411957,,2026-07-31T23:58:07.008Z,open_data,probable_match,ELP-0355,1,nombre casi idéntico | nombre distintivo exacto | dirección normalizada exacta | 0 m entre coordenadas,pending,
RDC-7d33a13ceb5a3b64,openstreetmap,openstreetmap:node/13067352454,,Doña Juana,Montevideo,Montevideo,Doctor Francisco Simón 2416,,,-34.8841667,-56.1504374,,2026-07-31T23:58:07.008Z,open_data,probable_match,MSP24-143,0.975,nombre casi idéntico | nombre distintivo exacto | dirección muy similar | 4 m entre coordenadas,pending,
RDC-487bbbc16b1414e8,openstreetmap,openstreetmap:node/6404947685 | openstreetmap:node/10671335950,,Estilo de Vida,Montevideo,,Luis B. Cavia,,,-34.9116675,-56.153399,,2026-07-31T23:58:07.008Z,open_data,probable_match,MSP24-125,0.9751,nombre casi idéntico | nombre distintivo exacto | dirección muy similar | 4 m entre coordenadas,pending,
RDC-a6a38721a68e9c28,openstreetmap,openstreetmap:node/6404947885,,Estilo de Vida,Montevideo,,Domingo Cullen 693,,,-34.9159276,-56.1631301,,2026-07-31T23:58:07.008Z,open_data,probable_match,ELP-0401,0.9975,nombre casi idéntico | nombre distintivo exacto | dirección normalizada exacta | 14 m entre coordenadas,pending,
RDC-1738de799ffd143a,openstreetmap,openstreetmap:node/6466087985,,Estilo de Vida,Montevideo,Montevideo,Echevarriarza 3453,,,-34.9088743,-56.1370292,,2026-07-31T23:58:07.008Z,open_data,probable_match,MSP24-126,1,nombre casi idéntico | nombre distintivo exacto | dirección normalizada exacta | 6 m entre coordenadas,pending,
RDC-bd196cd762122307,openstreetmap,openstreetmap:node/11198618886,,Estilo de Vida,Montevideo,Montevideo,Bulevar España 2520,+59827106026,http://www.estilodevida.com.uy/,-34.9122466,-56.1598104,,2026-07-31T23:58:07.008Z,open_data,probable_match,MSP24-123,0.975,nombre casi idéntico | nombre distintivo exacto | 11 m entre coordenadas,pending,
RDC-597fd2d8586456ce,openstreetmap,openstreetmap:node/12599439415,,Fundación Algarrobo,Montevideo,,,,,-34.9020182,-56.1594233,,2026-07-31T23:58:07.008Z,open_data,probable_match,MSP24-150,0.95,nombre casi idéntico | nombre distintivo exacto | 14 m entre coordenadas,pending,
RDC-3f2a4961b0f7d753,openstreetmap,openstreetmap:node/13130842101,,Historias de Vida,Montevideo,,Juan María Pérez 2785,,,-34.9173735,-56.1528071,,2026-07-31T23:58:07.008Z,open_data,probable_match,ELP-0423,0.95,nombre casi idéntico | nombre distintivo exacto | 19 m entre coordenadas,pending,
RDC-cc1bcf8ee2673119,openstreetmap,openstreetmap:way/457106176,,Humana Residencial,Montevideo,Montevideo,Bulevar España 2128,,,-34.9088449,-56.1699902,,2026-07-31T23:58:07.008Z,open_data,probable_match,ELP-0606,0.95,nombre casi idéntico | nombre distintivo exacto | 6 m entre coordenadas,pending,
RDC-5296bad3e45fa172,openstreetmap,openstreetmap:node/944527136,,Los Abuelos,Montevideo,Montevideo,Avenida General Flores 4918,+598 2514 6141,,-34.8413081,-56.1510504,,2026-07-31T23:58:07.008Z,open_data,probable_match,ELP-0464,0.96,nombre distintivo exacto | dirección normalizada exacta | 0 m entre coordenadas,pending,
RDC-a037aeea6f67a619,openstreetmap,openstreetmap:node/12599456724,,Residencial Le Parc,Montevideo,,,,,-34.8991835,-56.1579571,,2026-07-31T23:58:07.008Z,open_data,probable_match,ELP-0497,0.95,nombre distintivo exacto | 11 m entre coordenadas,pending,
