source_id,title,institution,cutoff,loaded_rows,role,url,limitations
snicelepem2024,Sistema Nacional Integrado de Cuidados - Informe Anual 2023,Sistema Nacional Integrado de Cuidados / MIDES,05/03/2024,19 agregados departamentales,"Universo de referencia de 1.481 ELEPEM, sin listado nominal público en el informe.",https://www.gub.uy/sistema-cuidados/comunicacion/publicaciones/informe-anual-2023-sistema-nacional-integrado-cuidados,Cifra agregada; incluye establecimientos operativos independientemente de su habilitación y reconoce margen de error metodológico.
ain2024,Informe de Auditoría a INMAYORES,Auditoría Interna de la Nación,mayo de 2024,Hallazgos metodológicos,"Contexto sobre fragmentación, fiscalización y calidad de los registros.",https://www.gub.uy/auditoria-interna-nacion/comunicacion/publicaciones/informe-auditoria-inmayores-elepem,No publica el padrón nominal de 1.481 establecimientos.
msp_final_2026,ELEPEM habilitados a junio de 2026,Ministerio de Salud Pública,30/06/2026,212,Constancia de habilitación final vigente según el listado publicado.,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,Fotografía administrativa a la fecha de corte; no es una evaluación completa de calidad.
mides_social,Establecimientos con Certificado Social,MIDES / Inmayores,páginas con fechas heterogéneas (2024-2026),281,Filas nominales recuperadas de páginas departamentales públicas.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/establecimientos-larga-estadia-para-personas-mayores-certificado-social,"La portada informa 319 establecimientos, pero las páginas departamentales localizadas permitieron recuperar 281 filas; no se encontraron páginas indexadas para cuatro departamentos."
msp_register_historical,Certificados de registro MSP emitidos 2017-marzo 2024,Ministerio de Salud Pública,07/03/2024,828,"Eventos históricos de emisión de certificado de registro, primera etapa del trámite.",https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf,"Una sede puede aparecer varias veces por renovaciones, cambios o emisiones en distintos años; no acredita estado actual."
pacp_2023,Registro de Proveedores del PACP,Sistema de Cuidados / MIDES,11/08/2023,36,Establecimientos publicados como proveedores del programa de realojos.,https://www.gub.uy/sistema-cuidados/comunicacion/comunicados/programa-apoyo-cuidado-permanente-pacp,La inscripción al PACP es una categoría programática específica y no sustituye la lectura de las etapas regulatorias.
ide_geocoding,Direcciones Geográficas del Uruguay,Infraestructura de Datos Espaciales,recursos descargados en julio de 2026,19 archivos departamentales,Georreferenciación aproximada de direcciones.,https://catalogodatos.gub.uy/dataset/ide-direcciones-geograficas-del-uruguay,"Algunos pines corresponden a puerta cercana, centroide de calle/localidad/departamento; la precisión se muestra en cada ficha."
mides_dept_c9bb8f12,Página departamental de Certificado Social,MIDES / Inmayores,según página,2,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/artigas-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_81fd62ff,Página departamental de Certificado Social,MIDES / Inmayores,según página,24,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_ae95009b,Página departamental de Certificado Social,MIDES / Inmayores,según página,2,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/cerro-largo-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
