candidate_key,observed_name,aliases,department,locality,address,address_precision,phones,email,website_url,instagram_url,facebook_url,classification,evidence_tier,confidence,activity_status,latest_public_activity,administrative_status,exclusion_index_match,historical_public_match,possible_relationships,coordinate_status,google_place_verification_status,import_recommendation,map_action,source_urls,review_notes
canelones:canelones:reina-de-las-flores,Residencial Reina de las Flores,,Canelones,Canelones,Camino Las Violetas,street_without_door_number,4332 5557 | 096 236 140 | 099 676 875,,,,,probable_new_current,C,high,current_verified_directory_presence,2026-08-04,not_determined,no_match_found,no_match_found,El directorio la presenta como sede relacionada con El Bienestar Hogar Canelones; mantener las dos direcciones como sedes físicas separadas.,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/residencial-reina-de-las-flores/LOC860490003,
canelones:canelones:el-bienestar,El Bienestar Hogar Canelones,,Canelones,Canelones,Treinta y Tres 692,door_number,096 236 140 | 099 676 875,,,,,probable_new_current,C,high,current_directory_presence,2026-08-04,not_determined,no_match_found,no_match_found,Comparte teléfonos y relación de sucursal con Reina de las Flores; no fusionar las sedes físicas.,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/el-bienestar-hogar-canelones/LOC860490001,
canelones:canelones:el-ombu,Residencial El Ombú,El Ombú,Canelones,Canelones,"Camino Las Violetas, zona CMWW+7M5",street_plus_code,4330 3424 | 099 231 012 | 099 788 929,,,https://www.instagram.com/residencialelombu/,https://www.facebook.com/p/Residencial-El-Omb%C3%BA-100086947907257/,probable_new_current,B,high,recent_social_and_job_ad_activity,2026,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.instagram.com/residencialelombu/ | https://www.facebook.com/61581209690073/photos/122130682839040323/ | https://uy.maptons.com/p/14918801456,Confirmar la puerta exacta; la combinación calle/plus-code es suficiente para revisión pero no para publicar sin IDE y control humano.
canelones:las-piedras:golden-age,Golden Age Residencial,,Canelones,Las Piedras,Wilson Ferreira Aldunate 804,door_number,2365 2480 | 094 690 221,,,,,probable_new_current,C,high,owner_verified_directory_presence,2026-03-05,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/golden-age-residencial/LOC844750001,
canelones:la-paz:jireh,Residencial Jireh,,Canelones,La Paz,Gutiérrez 87,door_number,2363 6069 | 091 058 570,,,,,probable_new_current,C,high,current_directory_presence,,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/residencial-jireh/LOC883610001,
canelones:juanico:casona-de-retiro,Casona de Retiro,,Canelones,Juanicó,Ruta 5 km 37.800 y San Marcos,route_kilometer,097 402 040,,,,,probable_new_current,C,high,current_directory_presence,,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/casona-de-retiro/LOC824580001,
canelones:sauce:la-rosada,Residencial La Rosada,,Canelones,Sauce,Camino Tomás Berreta km 30.500,route_kilometer,2292 2060 | 099 610 143 | 098 546 168,residencialarosada2024@gmail.com,,https://www.instagram.com/residencial_larosada/,,probable_new_current,B,high,current_site_and_social_presence,2025-12,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://inforesidenciales.com.uy/la-rosada/ | https://www.instagram.com/residencial_larosada/,
canelones:pando:lo-de-mama-1,Residencial Lo de Mamá,,Canelones,Pando,"Continuación 18 de Julio 1416, entre Salvador de Marchi y Marconi",door_number,092 191 419,,,,,probable_new_current,C,high,current_directory_presence,,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/galeria/residencial-lo-de-mama/823620001/16003,
canelones:pando:lo-de-mama-2,Residencial Lo de Mamá 2,,Canelones,Pando,Piovene 1158,door_number,093 429 100 | 092 191 419,,,,,probable_new_current,C,high,current_directory_presence,,not_determined,no_match_found,no_match_found,Mismo operador/teléfono que Lo de Mamá 1; mantener como segunda sede física.,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/video/residencial-lo-de-mama-2/845090001/xhL8RIEXJE4,
canelones:pando:felipe-martinez,Residencial Felipe Martínez,,Canelones,Pando,Dr. César Piovene 1085,door_number,099 164 373 | 092 423 333,,,https://www.instagram.com/residencialfelipemartinez/,https://www.facebook.com/p/Residencial-Felipe-Mart%C3%ADnez-100082967330812/,probable_new_current,B,high,recent_social_activity_and_directory_presence,2026-07,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.instagram.com/residencialfelipemartinez/ | https://uy.todosnegocios.com/residencial-felipe-mart%C3%ADnez-099-164-373,
canelones:barros-blancos:vidal-y-cia,Residencial Vidal y Cía,,Canelones,Barros Blancos,"Ruta 8 km 26, calle Cerro Largo 58",route_kilometer_with_street_number,091 725 869,,,,,probable_new_current,C,high,current_directory_presence,,not_determined,no_match_found,no_match_found,,needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/residencial-vidal-y-cia/LOC836150001,
canelones:pando:mi-nueva-familia,Mi Nueva Familia,,Canelones,Pando,Correch 1025,door_number,2292 6888 | 097 385 503,,,,,probable_new_current,C,high,public_directory_and_gallery_presence,,not_determined,no_match_found,no_match_found,"Yoli figuraba históricamente en Camino Correch 1142; la diferencia de nombre y puerta sugiere otra sede, pero revisar proximidad.",needs_ide_geocoding_after_deduplication,pending_local_codex_tool,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/galeria/mi-nueva-familia/526200002/12590,
