candidate_key,observed_name,aliases,department,locality,neighborhood,address,address_precision,phones,email,website_url,instagram_url,facebook_url,classification,evidence_tier,confidence,activity_status,latest_public_activity,administrative_status,exclusion_index_match,best_index_name,best_index_name_score,best_index_address,best_index_address_score,possible_relationships,coordinate_status,google_place_verification_status,import_recommendation,map_action,source_urls,review_notes
durazno:calas-hogar:herrera-948,Calas Hogar,Calas HOGAR,Durazno,Durazno,Centro / corredor Herrera,"Herrera 948, esquina Baltasar Brum",door_number_with_cross_street,099 926 596,,,https://www.instagram.com/calashogar/,https://www.facebook.com/RadioDuraznoDuraznoTv/videos/2006722180269611/,probable_new_current,B,high,current_public_presence_detected,2026-04-19,not_determined,no_exact_name_or_address_match,Toscana Hogar,75.0,Hervidero 1866 Esq Joaquin Suarez,54.5,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.instagram.com/calashogar/ | https://www.instagram.com/p/DLqZCmyOIp9/ | https://www.facebook.com/RadioDuraznoDuraznoTv/videos/2006722180269611/,Candidato fuerte con sede física concreta y señal pública 2026. Comparar especialmente contra otras direcciones de Herrera y contra operadores ya conocidos antes de proponer alta privada.
durazno:residencial-shalom:zorrilla-618,Residencial Shalom,Recidencial Shalom Adulto Mayor,Durazno,Durazno,,Zorrilla 618,door_number,091 669 205,,,,,probable_new_current,B,high,current_public_listing_verified_with_owner,2025-10-01,not_determined,no_exact_name_or_address_match,Residencial Zar Shalom,90.0,Zorrilla 1341,80.0,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/residencial-shalom/LOC872260001 | https://www.facebook.com/p/Recidencial-Shalom-Adulto-Mayor-100083828049542/,"No aparece por nombre ni domicilio exacto en el índice. Prioridad alta para deduplicación por teléfono, operador y dirección."
durazno:hogar-amaneciendo:blanquillo-calle-artigas-frente-ose,Hogar Amaneciendo,Hogar para Personas Mayores Amaneciendo | Asociación Civil Hogar Blanquillo Amaneciendo,Durazno,Blanquillo,,"Calle Artigas, frente a OSE",street_with_landmark,,,,,,probable_new_current,B,high,recent_opening_and_current_public_presence_detected,2025-12-04,not_determined,no_exact_name_or_address_match,Hogar Mi Sueño,71.0,Calle 6 entre C y D,57.8,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://elacontecer.com.uy/sociedad/hogar-amaneciendo-blanquillo/ | https://www.duraznodigital.uy/2025/11/un-logro-colectivo-toma-forma-el-hogar.html,"Candidato actual fuerte fuera de la capital. La ubicación es verificable por calle y referencia, pero no debe recibir coordenadas hasta confirmar la puerta o el place_id."
durazno:centro-de-cuidados-amelia:address-missing,Centro de Cuidados Amelia,Residencial Amelia | Amelia Centro de Cuidados,Durazno,Durazno,,,missing,099 056 705,,,https://www.instagram.com/ameliacentrodecuidados/,,address_missing,B,medium_high,recent_public_presence_detected_address_unresolved,2025,not_determined,no_exact_name_match_address_missing,Residencial Centro de Cuidados Alamos,67.7,,,,address_missing_no_geocoding,not_run,keep_private_until_exact_address,no_map_point_until_exact_address_and_human_review,https://www.instagram.com/ameliacentrodecuidados/ | https://www.instagram.com/p/DDaSmzmpcgB/,"No asignar centroide de Durazno. Buscar dirección por teléfono, razón social, anuncios de empleo y ficha cartográfica durante la revisión."
durazno:hogar-los-abuelos:address-missing,Hogar Los Abuelos,,Durazno,Durazno,,,missing,,,,,,address_missing,B,high,current_official_public_activity_detected_address_unresolved,2026-06-22,not_determined,no_exact_name_match_address_missing,HOGAR DE ABUELOS,84.8,,,,address_missing_no_geocoding,not_run,keep_private_until_exact_address_and_deduplication,no_map_point_until_exact_address_and_human_review,https://www.gub.uy/ministerio-interior/comunicacion/noticias/pcop-acompano-actividades-dia-abuelos-hogares-adultos-mayores | https://www.duraznodigital.uy/2026/06/adultos-mayores-de-durazno-y-san-jorge.html,"La fuente oficial distingue Hogar Los Abuelos de Hogar de Ancianos. Debe resolverse si es una sede nueva, un alias actual o una institución ya representada bajo otro nombre."
durazno:la-aurora:zorrilla-545,La Aurora,Residencial La Aurora,Durazno,Durazno,,"Zorrilla 545, casi Rubino",door_number_with_cross_street,4362 9076,,,,,needs_more_evidence,C,medium,public_directory_listing_detected_current_status_unverified,,not_determined,no_exact_name_or_address_match,LA AURORA,100.0,Zorrilla de San Martìn 621,60.0,,needs_google_or_ide_verification_after_deduplication,not_run,keep_private_until_independent_current_evidence,no_map_point_until_second_source_and_human_review,https://1122.com.uy/local/la-aurora/LOC458880001,Conservar como pista con domicilio concreto. Buscar una segunda familia de fuente reciente o verificación humana antes de tratarla como candidato actual.
durazno:residencial-tu-hogar:25-de-agosto-935,Residencial Tu Hogar,,Durazno,Durazno,,"25 de Agosto 935, entre Artigas y Baltasar Brum",door_number_with_cross_streets,4362 5216 | 091 514 878,,,,,possible_move_or_rebrand,B,high,current_public_listing_detected,,not_determined,same_address_as_known_different_identity,Residencial Dulce Hogar,88.4,25 de agosto 935,100.0,"El índice contiene Residencial Años Dorados en 25 de Agosto 935. | La ficha pública actual usa la identidad Residencial Tu Hogar en la misma puerta. | Resolver sucesión de operador, alias o rebranding sin crear dos sedes físicas.",needs_google_or_ide_verification_after_deduplication,not_run,relationship_review_only,do_not_create_second_point_until_relationship_resolved,https://1122.com.uy/local/residencial-tu-hogar/LOC789030001 | https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf,Prioridad alta: misma puerta física que Años Dorados. No importar como nueva sin resolver continuidad.
durazno:dona-ines-el-bienestar:18-de-julio-540,Residencial Doña Inés / El Bienestar Hogar Durazno,Residencial Doña Inés | El Bienestar Hogar Durazno,Durazno,Durazno,,"18 de Julio 540, esquina Zorrilla",door_number_with_cross_street,4363 4014 | 097 414 665,,,,,possible_move_or_rebrand,B,medium_high,multiple_current_directory_identities_at_same_address,,not_determined,no_exact_match_but_same_public_address_has_multiple_identities,Residencial Doña Angelita,63.0,18 de Julio y Agustín Abreu,61.0,"Dos fichas comerciales públicas usan 18 de Julio 540 para identidades distintas. | Doña Inés aparece vinculada como sucursal de Reino de las Flores. | Resolver si El Bienestar es alias, rebranding, operador anterior o ficha duplicada.",needs_google_or_ide_verification_after_deduplication,not_run,relationship_review_only,one_physical_site_maximum_until_identity_resolved,https://1122.com.uy/local/residencial-dona-ines/LOC804950001 | https://1122.com.uy/local/el-bienestar-hogar-durazno/LOC860490002,"No crear dos puntos en la misma puerta. Buscar teléfono de El Bienestar, razón social y secuencia temporal de las fichas."
durazno:sagrada-familia-hipodromo:sagrado-corazon,Residencial Sagrada Familia Hipódromo,Residencial Sagrado Corazón,Durazno,Durazno,Barrio Hipódromo,"Calle pública, frente al 1100 de la pista del Hipódromo",street_with_landmark,4363 5455 | 098 768 140,,,,,possible_move_or_rebrand,B,high,current_public_activity_under_name_variant,2026-06-24,not_determined,probable_alias_or_rebrand_of_known_entry,Residencial Sagrado Corazón,73.2,Juana Artigas S/N Barrio Hipodrómo,100.0,"El índice contiene Residencial Sagrado Corazón en Juana Artigas s/n, Barrio Hipódromo. | La ficha comercial usa Sagrado Corazón y una referencia frente a la pista del Hipódromo. | Fuentes públicas de 2026 llaman al lugar Residencial Sagrada Familia Hipódromo. | Resolver alias, rebranding o cambio de referencia domiciliaria.",needs_google_or_ide_verification_after_deduplication,not_run,relationship_review_only,link_or_update_existing_site_after_human_review,https://1122.com.uy/local/residencial-sagrado-corazon/LOC685720001 | https://durazno.uy/index.php/noticias-departamentales/musica-para-el-alma-los-hogares-de-durazno-se-llenan-de-melodias-y-festejo-en-el-dia-del-abuelo.html | https://www.duraznodigital.uy/2026/06/adultos-mayores-de-durazno-y-san-jorge.html,"Muy probable continuidad de la entrada conocida. Tratar como relación/alias, no como sede nueva."
durazno:reino-reina-de-las-flores:wilson-ferreira-696,Residencial Reino de las Flores,Residencial Reina de las Flores,Durazno,Durazno,,"Wilson Ferreira Aldunate 696, casi Arrospide",door_number_with_cross_street,4363 4014 | 097 414 665,,,,,probable_known_match,B,high,current_public_listing_detected,,not_determined,same_address_and_near_identical_name_to_known_entry,Residencial Reina de las Flores,96.6,Wilson Ferreira 696,100.0,El índice contiene Residencial Reina de las Flores en Wilson Ferreira 696. | La ficha actual usa Reino de las Flores en la misma puerta. | La ficha vincula esta sede con Residencial Doña Inés.,needs_google_or_ide_verification_after_deduplication,not_run,link_or_enrich_probable_existing_entry,update_existing_site_after_relationship_review,https://1122.com.uy/local/residencial-reino-de-las-flores/LOC804950002 | https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf,Probable coincidencia conocida por misma puerta y mínima variante Reino/Reina.
