candidate_key,observed_name,aliases,department,locality,neighborhood,address,address_precision,phones,email,website_url,instagram_url,facebook_url,classification,evidence_tier,confidence,activity_status,latest_public_activity,administrative_status,exclusion_index_match,best_index_name,best_index_name_score,best_index_address,best_index_address_score,possible_relationships,coordinate_status,google_place_verification_status,import_recommendation,map_action,source_urls,review_notes
montevideo:residencial-abril:juan-manuel-blanes-1037,Residencial Abril,ABRIL,Montevideo,Montevideo,Parque Rodó,Juan Manuel Blanes 1037,door_number,2410 3873,uolandacastilloabril@gmail.com,,,,probable_new_current,B,high,current_public_presence_detected,,not_determined,no_exact_name_or_address_match,Tilos De Abril,62.5,Juan Manuel Blanes 1274,91.3,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://1122.com.uy/local/residencial-abril/LOC430940001 | https://uy.todosnegocios.com/residencial-abril-2410-3873,No hubo coincidencia exacta de nombre o domicilio en el índice; Codex debe comparar con Tilos de Abril y otras sedes de Blanes.
montevideo:residencial-alma-amor-y-vida:javier-de-viana-2350,"Residencial Alma, Amor y Vida",ALMA AMOR Y VIDA,Montevideo,Montevideo,Parque Batlle / La Blanqueada,Javier de Viana 2350,door_number,091 366 741 | 2412 0014 | 091 244 745,,,,https://www.facebook.com/p/Residencial-Alma-Amor-y-vida-100067553676458/,probable_new_current,B,high,recent_opening_and_public_activity_detected,2026-03-01,not_determined,no_exact_name_or_address_match,Árbol De La Vida,53.8,Av italia 2509,58.8,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://www.facebook.com/p/Residencial-Alma-Amor-y-vida-100067553676458/ | https://www.instagram.com/p/DSd8yNkDLRa/,Los teléfonos difieren entre Aderama y la publicación social; conservar todos por fuente hasta revisión.
montevideo:residencial-ambar:mariano-uriarte-6050,Residencial Ámbar,AMBAR,Montevideo,Montevideo,Punta Gorda / Carrasco,Mariano Uriarte 6050,door_number,2604 3952 | 098 864 277,,,https://www.instagram.com/residencial_ambar/,,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,Amanecer,61.5,Mariano Uriarte 6537,90.0,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://www.instagram.com/residencial_ambar/,La dirección y los contactos provienen de Aderama; confirmar puerta y ficha exacta en Google después del dry-run.
montevideo:casa-yordan:guillermo-arrospide-5398,Casa Yordan,,Montevideo,Montevideo,Carrasco / Parque Rivera,Guillermo Arrospide 5398,door_number,097 357 659 | 096 427 473,residenciales.casayordan@gmail.com,,https://www.instagram.com/residenciales.casayordan/,,probable_new_current,B,high,current_public_presence_detected,2026-07,not_determined,no_exact_name_or_address_match,Alborada,57.1,Guillermo Tell 3888,65.1,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://inforesidenciales.com.uy/casa-yordan/ | https://www.instagram.com/residenciales.casayordan/,Candidato fuerte de sede física nueva; validar contra nombres jurídicos y operadores conocidos.
montevideo:centro-del-adulto-mayor-carrasco:almirante-harwood-6346,Centro del Adulto Mayor Carrasco,,Montevideo,Montevideo,Carrasco,Almirante Harwood 6346,door_number,2707 1159 | 092 852 777,,,,,probable_new_current,C,medium_high,current_public_presence_detected,,not_determined,no_exact_name_or_address_match,Residencial Centro Arrels,78.6,Almirante Harwood 6214,90.9,"Comparte operador y teléfonos con las sedes Prado, Buceo, Ombú y Central; mantener cada domicilio como sede física separada.",needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://inforesidenciales.com.uy/,Revisar si ya está representado bajo otro nombre del mismo operador.
montevideo:centro-del-adulto-mayor-buceo:juan-m-espinosa-1369,Centro del Adulto Mayor Buceo,,Montevideo,Montevideo,Buceo,Juan M. Espinosa 1369,door_number,2707 1159 | 092 852 777,,,,,probable_new_current,C,medium_high,current_public_presence_detected,,not_determined,no_exact_name_or_address_match,Centro Zeus,69.6,Juan M. Espinosa 1480,85.0,"Mismo operador que Carrasco, Prado, Ombú y Central; no fusionar sedes físicas.",needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://inforesidenciales.com.uy/,"El índice contiene otras sedes del operador; buscar coincidencia por teléfono y relación de operador, no por nombre solo."
montevideo:residencial-flor-de-liz:bulevar-espana-2647,Residencial Flor de Liz,Flor de Liz,Montevideo,Montevideo,Pocitos,Bulevar España 2647,door_number,2706 9781 | 098 631 864,residencialflordelizuruguay@gmail.com,,https://www.instagram.com/flordelizresidencial/,https://www.facebook.com/flordelizmontevideo/,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,Casa Flora,61.5,Bulevar España 2516,89.5,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://inforesidenciales.com.uy/flor-de-liz/ | https://www.facebook.com/flordelizmontevideo/,
montevideo:residencial-gema-juncal:calderon-de-la-barca-1867,Residencial Gema Juncal,GEMA JUNCAL,Montevideo,Montevideo,Colón,Calderón de la Barca 1867,door_number,2321 6709,,,https://www.instagram.com/residencialgemajuncal/,https://www.facebook.com/61553398951583/about/,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,Doña Juana,57.1,Caldern de la Barca 1978,89.8,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://www.facebook.com/61553398951583/about/ | https://www.instagram.com/residencialgemajuncal/,
montevideo:residencial-indigo:av-rivera-3218,Residencial Índigo,ÍNDIGO,Montevideo,Montevideo,Pocitos,Av. Rivera 3218,door_number,095 094 873,,,https://www.instagram.com/reel/DKLRc6xpCLl/,,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,San Diego,66.7,Avda Rivera 4589,73.3,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://www.instagram.com/reel/DKLRc6xpCLl/ | https://www.instagram.com/reel/CyuNSAUMQFu/,
montevideo:residencial-infinito:cooper-2446,Residencial Infinito,INFINITO,Montevideo,Montevideo,Carrasco,Cooper 2446,door_number,2600 3260 | 098 810 207,infinito.cooper@gmail.com,https://www.residencialinfinito.com.uy/,https://www.instagram.com/infinito.residencial/,,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,Mi Rinconcito,57.1,Cooper 2025,72.7,,needs_ide_geocoding_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://www.residencialinfinito.com.uy/ | https://www.instagram.com/infinito.residencial/,
