candidate_key,observed_name,aliases,department,locality,address,address_precision,phones,email,instagram_url,facebook_url,classification,evidence_tier,confidence,activity_status,latest_public_activity,administrative_status,exclusion_index_match,historical_public_match,possible_relationships,coordinate_status,import_recommendation,map_action,source_urls,review_notes
rocha:rocha-city:residencial-orquideas,Residencial Orquídeas,Orquídeas,Rocha,Rocha,Francisco de los Santos 134,door_number,099 872 054,,,https://www.facebook.com/p/Residencial-Orqu%C3%ADdeas-100064848346466/,probable_new_current,B,high,public_presence_current_or_recent,,not_determined,no_match_found,no_match_found_in_2019_rocha_reference,,needs_ide_geocoding,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.facebook.com/p/Residencial-Orqu%C3%ADdeas-100064848346466/ | https://uy.maptons.com/p/14918396960,"Nombre, dirección y teléfono aparecen de forma coherente en una página pública y en un directorio cartográfico. Comparar nuevamente por dirección y teléfono."
rocha:rocha-city:nuevo-renacer,Nuevo Renacer,Residencial Nuevo Renacer,Rocha,Rocha,"25 de Mayo 140, esquina Treinta y Tres",door_number_with_cross_street,,,https://www.instagram.com/nuevo_renacerr/,https://www.facebook.com/61582883460797/,probable_new_current,C,high,public_social_presence_detected,2026,not_determined,no_match_found,no_match_found_in_2019_rocha_reference,"Una mención a 'Nuevo Renacer 2' fue detectada, pero no se identificó una segunda dirección física.",needs_ide_geocoding,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.instagram.com/nuevo_renacerr/ | https://www.facebook.com/61582883460797/,"Instagram y Facebook parecen pertenecer al mismo operador, por lo que cuentan como una sola familia de evidencia. No crear una segunda sede por la mención '2' sin domicilio."
rocha:rocha-city:hotel-asistido-region-este,Hotel Asistido Región Este,Residencial Hotel Asistido | Hotel Asistido,Rocha,Rocha,Rincón 112,door_number,091 207 668,,https://www.instagram.com/residencial.hotelasistido/,,probable_new_current,C,high,recent_public_activity_detected,2026-02-28,not_determined,no_match_found,no_exact_match_found,El mismo teléfono apareció en publicaciones más antiguas asociadas a Residencia Geriátrica Terranova y Hogar Solares-Geriátrico. | Revisar posible cambio de nombre u operador antes de crear relaciones definitivas.,needs_ide_geocoding,private_candidate_with_possible_rebrand_flag,private_candidate_layer_only_after_geocoding_and_rebrand_review,https://www.instagram.com/residencial.hotelasistido/ | https://www.facebook.com/groups/252817111487837/posts/9397361683699955/ | https://www.facebook.com/groups/alquilocasaslapaloma/posts/24011884145116450/ | https://www.facebook.com/groups/alquilocasaslapaloma/posts/23991131390525059/,Tratar como una sede física actual probable. No crear tres establecimientos distintos a partir de los nombres históricos vinculados al mismo teléfono.
rocha:rocha-city:nuevo-residencial-mailuz,Nuevo Residencial MaiLuz,MaiLuz | Residencial Mai Luz,Rocha,Rocha,19 de Abril 167,door_number,095 597 397,,https://www.instagram.com/p/DXhH7GdDRue/,,probable_new_current,C,high,recent_public_advertising_detected,2026,not_determined,no_match_found,no_match_found_in_2019_rocha_reference,,needs_ide_geocoding,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.instagram.com/p/DXhH7GdDRue/ | https://www.threads.com/@rochaaldia.uy/post/DV8-D1vDTS1/atencion-rocha,La evidencia disponible parece provenir de una misma campaña publicitaria; mantener nivel C hasta obtener fuente independiente.
rocha:rocha-city:hogar-alba,Hogar Alba,Residencia del Adulto Mayor Alba | Alba,Rocha,Rocha,"25 de Agosto 27, antes de Leonardo Olivera",door_number_with_reference,097 373 501,,,,probable_new_current,C,medium,recent_public_advertising_detected,2026,not_determined,no_exact_match_but_address_conflict_risk,no_name_match; nearby historical/current address conflict,"Un directorio conserva una dirección anterior: 18 de Julio 1774. | La dirección actual observada, 25 de Agosto 27, puede confundirse por error tipográfico con 25 de Agosto 217, asociada históricamente a 'Ana' y en el índice a 'Serena'.",manual_address_confirmation_before_geocoding,private_candidate_with_address_conflict_flag,review_queue_only_until_address_confirmed,https://www.facebook.com/groups/elvendedorambulante/posts/1724553535162015/ | https://1122.com.uy/rubro-zona/rocha/residenciales/PRD1000233/Z14,No fusionar con Serena/Ana por similitud numérica. Confirmar físicamente 27 versus 217 y conservar ambas direcciones por fuente.
rocha:chuy:residencial-veneza,Veneza - Residencial para Adultos Mayores,Residencial Veneza | Veneza,Rocha,Chuy,Tito Fernández 140,door_number,093 603 670,residencialvenezachuy@gmail.com,https://www.instagram.com/reel/DaJaHNjxopI/?hl=en,https://www.facebook.com/infcentral/posts/-veneza-residencial-para-adultos-mayores-chuy-uruguay-un-espacio-pensado-para-br/2115310122614299/,probable_new_current,B,high,recent_public_activity_detected,2026-07,not_determined,no_match_found,no_match_found_in_2019_chuy_reference,,needs_ide_geocoding,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.facebook.com/infcentral/posts/-veneza-residencial-para-adultos-mayores-chuy-uruguay-un-espacio-pensado-para-br/2115310122614299/ | https://www.instagram.com/reel/DaJaHNjxopI/?hl=en,"No conservar como hecho la afirmación publicitaria de ser el 'primero' de la zona. Sí conservar nombre, dirección, teléfono y correo observados."
rocha:lascano:centro-residencial-bienestar,Centro Residencial Bienestar Lascano,Residencial Bienestar Lascano | Bienestar Lascano,Rocha,Lascano,"18 de Julio, esquina Arigoni",intersection,,,https://www.instagram.com/residencial_bienestarlascano/,https://www.facebook.com/NuevaRadioLascano/videos/ciro-y-andrea-principales-del-centro-residencial-bienestar-lascano-un-hogar-para/1916337152516767/,probable_new_current,B,high,recent_public_activity_detected,2025-07-29,not_determined,no_match_found,no_match_found_in_2019_lascano_reference,Puede compartir operador o marca con Centro Residencial Bienestar Cebollatí; las sedes físicas deben mantenerse separadas.,intersection_geocoding_plus_manual_confirmation,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_intersection_confirmation,https://www.facebook.com/NuevaRadioLascano/videos/ciro-y-andrea-principales-del-centro-residencial-bienestar-lascano-un-hogar-para/1916337152516767/ | https://www.instagram.com/residencial_bienestarlascano/,La radio local y el perfil público sostienen la identidad. Confirmar la esquina exacta antes de mapear.
rocha:rocha-city:las-espumillas,Las Espumillas,,Rocha,Rocha,José Enrique Rodó 107,door_number,4473 1024 | 091 753 640,,,,needs_more_evidence,C,medium,directory_presence_only,,not_determined,no_match_found,no_match_found_in_2019_rocha_reference,,needs_ide_geocoding_after_currentness_confirmation,private_review_queue_needs_current_activity_source,do_not_map_until_current_operation_is_confirmed,https://uy.todosnegocios.com/las-espumillas-4473-1024 | https://ug.maptons.com/p/14918397662,"La dirección y los teléfonos son concretos, pero las fichas halladas pueden compartir una misma fuente de datos y no prueban actividad reciente independiente."
rocha:lascano:residencial-nuestro-camino,Residencial Nuestro Camino,Nuestro Camino,Rocha,Lascano,,missing,,,https://www.instagram.com/p/DZrqHkGB7As/,,address_missing,C,medium,recent_public_activity_detected,2026-06-17,not_determined,no_lascano_match_found,no_match_found_in_2019_lascano_reference,"Existe un establecimiento oficial homónimo en Fray Marcos, Florida. No fusionar por nombre; la localidad observada aquí es Lascano.",not_geocodable_without_address,private_review_queue_address_required,review_queue_only,https://www.instagram.com/p/DZrqHkGB7As/,"La actividad en Lascano parece actual, pero falta domicilio y contacto institucional verificable."
rocha:cebollati:centro-residencial-bienestar,Centro Residencial Bienestar Cebollatí,Bienestar Cebollatí,Rocha,Cebollatí,,missing,,,https://www.instagram.com/p/DLqBPtcONxy/?img_index=2,,address_missing,C,low_to_medium,indexed_public_activity_detected,2026,not_determined,no_match_found,no_match_found_in_2019_reference,"Puede compartir operador o marca con Bienestar Lascano, pero una sede en Cebollatí sería físicamente distinta. | La evidencia fue encontrada principalmente en contenido indexado/relacionado; requiere una cuenta o ficha directa estable.",not_geocodable_without_address,private_review_queue_direct_source_and_address_required,review_queue_only,https://www.instagram.com/p/DLqBPtcONxy/?img_index=2,"No usar el centro de Cebollatí como coordenada. Conseguir URL directa, dirección y teléfono antes de mapear."
