candidate_key,observed_name,aliases,department,locality,neighborhood,address,address_precision,phones,email,website_url,instagram_url,facebook_url,classification,evidence_tier,confidence,activity_status,latest_public_activity,administrative_status,exclusion_index_match,best_index_name,best_index_name_score,best_index_address,best_index_address_score,possible_relationships,coordinate_status,google_place_verification_status,import_recommendation,map_action,source_urls,review_notes
treinta-y-tres:paradise:manuel-calleros-249,Residencial Paradise,Paradise,Treinta y Tres,Treinta y Tres,Barrio Sosa,Manuel Calleros 249,door_number,4452 2848 | 094 061 244,,,,https://www.facebook.com/p/Residencial-Paradise-100083268884220/,possible_move_or_rebrand,B,high,current_public_presence_detected,2025-2026,not_determined,no_exact_index_match_current_address_differs_from_sector_directory,Residencial Sarandí,66.7,Manuel Albo 2733,68.6,"Aderama 2026 conserva Jacinto Trapani 1187 y la etiqueta Montevideo; publicaciones públicas actuales ubican la marca en Manuel Calleros 249, Treinta y Tres.",needs_google_or_ide_verification_after_deduplication,not_run,relationship_review_possible_move_before_private_insert,private_candidate_only_after_move_review_and_geocoding,https://www.facebook.com/p/Residencial-Paradise-100083268884220/ | https://www.instagram.com/p/DJu4DKVJCdH/ | https://aderama.org.uy/socios-2026/,"Candidato fuerte, pero debe resolverse como mudanza/corrección departamental antes de crear una sede nueva."
treinta-y-tres:los-alamos:sin-direccion,Residencial Los Álamos,Los Alamos Residencial Adulto Mayor,Treinta y Tres,Treinta y Tres,,,missing_exact_address,099 635 067,,,https://www.instagram.com/alamosresidencialadultomayor/,https://www.facebook.com/p/Los-Alamos-Residencial-Adulto-Mayor-100083215598476/,address_missing,C,high,current_public_presence_detected,2026-08,not_determined,exact_name_exists_elsewhere_but_geography_does_not_match,los alamos,100.0,ibiray 2398,0.0,"El índice contiene “los alamos” en Montevideo y “Los Alamos” en Maldonado; son otras geografías y no deben fusionarse por nombre. | Una publicación menciona “Los Álamos 2, junto al Centro Integrado de Treinta y Tres”, pero no se obtuvo calle y número verificables.",not_geocodable_exact_address_missing,not_run,keep_private_until_exact_address_and_site_count_are_verified,no_point_no_centroid,https://www.instagram.com/alamosresidencialadultomayor/ | https://www.facebook.com/p/Los-Alamos-Residencial-Adulto-Mayor-100083215598476/ | https://www.instagram.com/alamosresidencialadultomayor/reels/,No asignar coordenadas del centro de Treinta y Tres. Prioridad alta para verificación manual en Google Maps o contacto institucional.
treinta-y-tres:las-comadres:simon-del-pino-1482,Las Comadres,,Treinta y Tres,Treinta y Tres,,Simón del Pino 1482,door_number,099 740 051,,,,,needs_more_evidence,C,medium_low,single_current_directory_presence_detected,2026,not_determined,no_exact_name_or_address_match,Las Condes,81.8,Santiago de Chile p.12,58.5,,needs_google_or_ide_verification_after_deduplication,not_run,keep_private_until_independent_current_source_is_found,no_public_map_action,https://aderama.org.uy/socios-2026/,"Pista valiosa, pero no se halló sitio, red pública, ficha cartográfica ni segunda fuente independiente con el mismo teléfono o domicilio."
treinta-y-tres:bienestar:sarandi-1346,Geriátrico Bienestar,Bienestar,Treinta y Tres,Treinta y Tres,,Sarandí 1346,door_number,091 442 021 | 4452 4408,,,https://www.instagram.com/geriatricobienestar/,,probable_known_match,B,high,current_public_presence_detected,2026,not_determined,not_in_exact_department_index_but_same_historical_name_and_address,Red Bienestar,81.8,Sarandi 1236,91.7,,needs_google_or_ide_verification_after_deduplication,not_run,link_historical_site_and_current_brand_after_dry_run,private_relationship_review_no_new_public_point,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf | https://www.instagram.com/geriatricobienestar/ | https://www.instagram.com/p/DPjcDLXjZ_4/,"La coincidencia histórica por nombre y domicilio es fuerte; debe tratarse como continuidad probable, no como sede nueva."
treinta-y-tres:de-ancianos-de-cerro-chato:ruta-7-km-250,Hogar de Ancianos de Cerro Chato,Comisión Pro Hogar del Anciano de Cerro Chato,Treinta y Tres,Cerro Chato,,Ruta 7 km 250,door_number,4466 2353 | 4466 2054,,,,,probable_known_match,A,high,current_public_presence_detected,2026,not_determined,not_in_exact_department_index_but_official_and_civil_sources_match,Hogar de Ancianos de Rio Negro,76.0,Ruta 7 Km. 52.800,82.8,,needs_google_or_ide_verification_after_deduplication,not_run,link_or_create_private_known_relationship_after_dry_run,private_relationship_review_no_new_public_point,https://www.mapeosociedadcivil.uy/organizaciones/comision-pro-hogar-del-anciano-de-cerro-chato/ | https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/hogares-sin-fines-lucro | https://www.gub.uy/ministerio-economia-finanzas/sites/ministerio-economia-finanzas/files/documentos/publicaciones/Tomo%20I%20%E2%80%93%20Res%C3%BAmenes.pdf,Sede física claramente identificada en Cerro Chato; no aparece entre las dos entradas exactas del índice departamental.
treinta-y-tres:de-ancianos-de-santa-clara-de-olimar:19-de-abril-s-n,Hogar de Ancianos de Santa Clara de Olimar,,Treinta y Tres,Santa Clara de Olimar,,19 de Abril s/n,door_number,099 911 585,,,,,probable_known_match,A,high,current_public_presence_detected,2024-10-04,not_determined,existing_private_osm_candidate_probable_same_site,Hogar De Ancianos De Juan Lacaze,71.0,19 de abril 28,82.8,"Probable identidad del candidato OSM EXC-CANDIDATE-5E1C228FD6B7EC36, rotulado genéricamente como hogar de adultos mayores.",existing_osm_candidate_coordinates_only_no_new_geocoding,not_run,link_to_existing_osm_private_candidate_after_dry_run,private_candidate_relationship_only,https://treintaytres.gub.uy/2024/10/04/intendente-departamental-junto-al-presidente-de-la-republica-inauguraron-hogar-de-ancianos-en-santa-clara-de-olimar/ | https://www.bps.gub.uy/22040/inauguracion-del-hogar-de-ancianos-de-santa-clara-de-olimar.html | https://www.mapeosociedadcivil.uy/organizaciones/hogar-de-ancianos-de-treinta-y-tres/,No es un descubrimiento completamente nuevo: el índice ya contiene un candidato OSM sin nombre/localidad. Resolver identidad y completar dirección.
treinta-y-tres:de-ancianos-de-treinta-y-tres:jose-enrique-rodo-1437,Hogar de Ancianos de Treinta y Tres,Asociación Civil Hogar de Ancianos de Treinta y Tres,Treinta y Tres,Treinta y Tres,,José Enrique Rodó 1437,door_number,4452 2485 | 099 850 818,abarrios19@hotmail.com,,,,probable_known_match,A,high,current_public_presence_detected,2026,not_determined,not_in_exact_department_index_but_strong_historical_and_current_match,Hogar de Ancianos de Artigas,74.5,José Enrique Rodó 1874,90.9,,needs_google_or_ide_verification_after_deduplication,not_run,link_historical_and_current_sources_after_codex_dry_run,private_relationship_review_no_new_public_point,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf | https://www.mapeosociedadcivil.uy/organizaciones/asociacion-civil-hogar-de-ancianos-de-treinta-y-tres/ | https://www.bps.gub.uy/24285/rd-17-44-2026---revocacion-adjudicacion-solucion-habitacional-subsidio-cupo-cama-con-cargo-al-fondo-de-vivienda-para-jubilados-y-pensionistas.html | https://www.instagram.com/reel/DZ8IO_0AmaC/,Muy probable continuidad del registro histórico. Falta que Codex resuelva por qué no quedó como entrada exacta de Treinta y Tres.
treinta-y-tres:de-ancianos-vergara-siglo-xxi:padrones-86-y-1322-vergara,Hogar de Ancianos Vergara Siglo XXI,Asociación Civil Vergara - Siglo XXI,Treinta y Tres,Vergara,,"Padrones 86 y 1322, Vergara",parcel_only,,,,,,probable_known_match,A,medium_high,current_public_presence_detected,2026-02-07,not_determined,not_in_exact_department_index_current_institution_confirmed,HOGAR De Ancianos PUGA SORIA,70.6,rio negro sn m 216 s 15 pinar,47.3,,not_geocodable_without_verified_street_address,not_run,private_known_site_after_address_verification_and_dry_run,no_point_until_exact_address_is_verified,https://www.vergara.gub.uy/inauguracion-del-mural-en-homenaje-al-dr-julio-carlos-reolon/ | https://www.bps.gub.uy/20510/11-30-2023---revocacion-de-adjudicacion-vivienda-y-adjudicacion-cupo-cama-en-hogar-de-ancianos.html | https://www.elobservador.com.uy/nota/el-bps-inaugura-este-viernes-un-hogar-para-adultos-mayores-en-treinta-y-tres--20223259403 | https://www.impo.com.uy/diariooficial/2019/07/26/documentos.pdf,"La sede está confirmada en Vergara, pero no se obtuvo calle y número verificables. No usar la dirección del Municipio ni la sede social de la asociación como dirección del hogar."
treinta-y-tres:el-amanecer:dionisio-oribe-1517,Hogar El Amanecer,El Amanecer,Treinta y Tres,Treinta y Tres,,Dionisio Oribe 1517,door_number,091 934 861 | 4453 3813,,,,https://www.facebook.com/p/Hogar-El-Amanecer-100063475335842/,probable_known_match,B,high,current_public_presence_detected,2026,not_determined,not_in_exact_department_index_but_historical_address_and_phone_match,Amanecer,84.2,Dionisio Bentancor 1042,61.9,,needs_google_or_ide_verification_after_deduplication,not_run,link_historical_and_current_sources_after_codex_dry_run,private_relationship_review_no_new_public_point,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf | https://www.facebook.com/p/Hogar-El-Amanecer-100063475335842/ | https://www.instagram.com/p/DbUCu0mH6Ro/,El teléfono fijo actual coincide con la nómina histórica; muy probable misma sede.
treinta-y-tres:dona-aurelia:manuel-freire-1864,Residencial Doña Aurelia,Doña Aurelia,Treinta y Tres,Treinta y Tres,,Manuel Freire 1864,door_number,4452 7051,,,,,known_exact_match,A,high,current_public_presence_detected,2026,not_determined,exact_index_name_and_address,Residencial Doña Aurelia,100.0,Manuel Freire 1864,100.0,,existing_index_coordinates_only_no_new_geocoding,not_run,link_or_enrich_existing_index_entry,enrich_existing_only_no_new_point,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf | https://aderama.org.uy/socios-2026/,"Coincidencia exacta con EXC-OFFICIAL-ELP-0809; se conserva como control, no como descubrimiento."
treinta-y-tres:josefa-olascoaga:manuel-lavalleja-1063,Residencial Josefa Olascoaga,Josefa Olascoaga,Treinta y Tres,Treinta y Tres,,Manuel Lavalleja 1063,door_number,4452 2879,,,https://www.instagram.com/residencial_olascoaga/,https://www.facebook.com/p/Residencial-Josefa-Olascoaga-100068247146198/,known_exact_match,A,high,current_public_presence_detected,2026,not_determined,exact_index_name_and_address,Residencial Josefa Olascoaga,100.0,Manuel Lavalleja 1063,100.0,,existing_index_coordinates_only_no_new_geocoding,not_run,link_or_enrich_existing_index_entry,enrich_existing_only_no_new_point,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf | https://www.facebook.com/p/Residencial-Josefa-Olascoaga-100068247146198/ | https://www.instagram.com/residencial_olascoaga/,Coincidencia exacta con EXC-OFFICIAL-ELP-0810; no debe crear un punto nuevo.
treinta-y-tres:el-remanso:manuel-oribe-1310,El Remanso,,Treinta y Tres,Treinta y Tres,,Manuel Oribe 1310,door_number,4452 0798,,,,,historical_only,A,medium_high,historical_presence_only_no_recent_independent_evidence,2019,not_determined,historical_source_not_in_exact_department_index,El Remanso,100.0,Manuel Oribe 374,84.8,,do_not_geocode_historical_only,not_run,retain_as_historical_control_pending_new_evidence,no_current_map_point,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf,No se encontró evidencia pública independiente suficientemente reciente para clasificarlo como sede actual. La ausencia de evidencia no prueba cierre.
treinta-y-tres:la-victoria:sin-direccion,Hogar La Victoria,,Treinta y Tres,Treinta y Tres,,,missing_exact_address,091 221 850,,,,,historical_only,A,medium_high,historical_presence_only_no_recent_independent_evidence,2019,not_determined,historical_source_not_in_exact_department_index,LA CAROLINA,63.6,ibiray 2398,0.0,,not_geocodable_exact_address_missing,not_run,retain_as_historical_control_pending_new_evidence,no_current_map_point,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2019-06/respuesta-a-pedido-de-informacion%5B1%5D_3.pdf,No se encontró evidencia pública independiente suficientemente reciente para clasificarlo como sede actual. La ausencia de evidencia no prueba cierre.
