candidate_key,observed_name,aliases,department,locality,neighborhood,address,address_precision,phones,email,website_url,instagram_url,facebook_url,classification,evidence_tier,confidence,activity_status,latest_public_activity,administrative_status,exclusion_index_match,best_index_name,best_index_name_score,best_index_address,best_index_address_score,possible_relationships,coordinate_status,google_place_verification_status,import_recommendation,map_action,source_urls,review_notes
tacuarembo:tacuavida:doctor-elias-abdo-259,Tacuavida,Residencial Tacuavida,Tacuarembó,Tacuarembó,,Dr. Elías Abdo 259,door_number,091 495 747,,,https://www.instagram.com/residencial.tacuavida/,,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,La Tacuara,75.0,Av italia 2509,51.6,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://www.instagram.com/residencial.tacuavida/ | https://uy.maptons.com/p/14920895380,Candidato fuerte sin coincidencia exacta en el índice. Mantener separado de Tacuavida Plus hasta identificar la dirección de la segunda sede.
tacuarembo:residencial-ipora:calle-9-y-18,Residencial Iporá,Residencial Ipora,Tacuarembó,Balneario Iporá,Balneario Iporá,Calle 9 y Calle 18,intersection,,,https://residencialipora.com/,,,probable_new_current,B,high,current_facility_website_detected,2026,not_determined,no_exact_name_or_address_match,Procura Residencial,66.7,CALLE 8 ESQ. CALLE 15,77.8,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://residencialipora.com/ | https://residencialipora.com/contacto,"La web declara más de cuatro años de actividad. La dirección es una intersección, no un número de puerta."
tacuarembo:residencial-alhoa:treinta-y-tres-164,Residencial Alhoa,Residencial Aloha | ALHOA | ALOHA,Tacuarembó,Tacuarembó,,Treinta y Tres 164,door_number,092 948 120,,,,https://www.facebook.com/61579503129337/,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,Residencial Kala,66.7,Treinta y tres 3169,90.9,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.facebook.com/61579503129337/ | https://www.facebook.com/wellington.rodriguez.94043/posts/residencial-de-adultos-mayores-alhoa-si-est%C3%A1s-buscando-un-lugar-seguro-y-cercano/1621759635923460/ | https://www.facebook.com/groups/1474989973297928/posts/2200120930784825/,Conservar Alhoa y Aloha como variantes. No hay coincidencia exacta en el índice.
tacuarembo:las-mariposas:18-de-julio-87,Las Mariposas Residencial Boutique,Las Mariposas,Tacuarembó,Tacuarembó,,18 de Julio 87,door_number,4632 0272 | 099 076 254,residencial.lasmariposas@gmail.com,,https://www.instagram.com/residencial_lasmariposas/,https://m.facebook.com/100078776538897/about/,probable_new_current,B,high,current_public_presence_detected,2026,not_determined,no_exact_name_or_address_match,Marías Belen,60.0,18 de Julio 796,87.0,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://aderama.org.uy/socios-2026/ | https://guiatotal.uy/product-details.php?id=485 | https://m.facebook.com/100078776538897/about/,Los teléfonos difieren por fuente; conservar ambos hasta revisión.
tacuarembo:residencial-vida-feliz:antonio-chiesa-olivera-n10,Residencial Vida Feliz,,Tacuarembó,Tacuarembó,,Antonio Chiesa Olivera N.º 10,door_number,091 670 065 | 092 272 703,,,,,probable_new_current,B,medium_high,current_verified_business_listing,2026-07-24,not_determined,no_exact_name_or_address_match,Residencial VITA BELLA,60.0,Santiago de Chile p.12,54.2,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://1122.com.uy/local/residencial-vida-feliz/LOC898840001,Candidato actual con una sola familia pública fuerte; buscar fuente independiente durante la revisión humana.
tacuarembo:residencial-san-agustin:paula-bermudez-de-godoy-267,Residencial San Agustín,,Tacuarembó,Paso de los Toros,,Paula Bermúdez de Godoy 267,door_number,4664 6629 | 098 448 111,,https://residencialsanagustin.negocio.site,,,probable_new_current,B,high,current_business_presence_and_operator_signal,2026,not_determined,no_exact_name_or_address_match,SANTA CATALINA,64.0,Avda. Eugenio Garzón 582,46.8,,needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://documentos.diputados.gub.uy/docs/L49/Original/03519.pdf | https://uy.todosnegocios.com/residencial-san-agust%C3%ADn-4664-6629 | https://uy.linkedin.com/in/sandra-garcia-4b1257203,Aparece en la fuente oficial histórica pero no en las 11 entradas departamentales del índice. Es uno de los candidatos prioritarios del dry-run.
tacuarembo:residencial-los-jazmines:gral-rivera-199,Residencial Los Jazmines,Los Jazmines,Tacuarembó,Tacuarembó,,Gral. Fructuoso Rivera 199,door_number,,,,https://www.instagram.com/losjazminestbo/,https://www.facebook.com/100091364205781/mentions/,probable_new_current,B,medium_high,recent_public_presence_detected,2025-2026,not_determined,no_exact_name_or_address_match,Mi Jazmin,70.6,Avda. General Rivera 7110,53.1,"Fuentes anteriores asociaron Los Jazmines con Henry Dunant 414. | Un directorio cartográfico usa el nombre Residencial Nuevo Amanecer para Henry Dunant 414; revisar mudanza, rebranding o coexistencia de sedes.",needs_google_or_ide_verification_after_deduplication,not_run,private_candidate_after_codex_dry_run,private_candidate_layer_only_after_geocoding_and_human_review,https://www.instagram.com/losjazminestbo/ | https://www.instagram.com/p/DGGBC11uGQ_/ | https://www.facebook.com/100091364205781/mentions/,"Se conserva como sede probable actual en Rivera 199, pero la relación con Henry Dunant 414 debe resolverse."
tacuarembo:residencial-nuevo-amanecer:henry-dunant-414,Residencial Nuevo Amanecer,Residencial Los Jazmines,Tacuarembó,Tacuarembó,,Henry Dunant 414,door_number,099 702 865,,,,,possible_move_or_rebrand,C,medium,current_or_recent_directory_presence_needs_confirmation,2025-2026,not_determined,partial_or_exact_index_signal_requires_relationship_review,NUEVO AMANECER,100.0,Carreras Nacionales 3414,50.0,La misma puerta fue publicada como Residencial Los Jazmines. | Los Jazmines también se presenta actualmente en Gral. Fructuoso Rivera 199.,needs_google_or_ide_verification_after_deduplication,not_run,relationship_review_before_private_insert,no_new_point_until_relationship_is_resolved,https://www.facebook.com/100091364205781/mentions/ | https://biashara.cybo.com/UY-posta/45000_departamento-de-tacuaremb%C3%B3/kuhusu-dawa?p=2,"No crear un segundo punto automáticamente. Resolver primero si hubo sucesión de operador, cambio de nombre o traslado de Los Jazmines."
tacuarembo:casa-las-violetas:bulevar-artigas-152,Casa Las Violetas,Residencial Las Violetas,Tacuarembó,Paso de los Toros,,Bulevar Artigas 152,door_number,099 786 199,,,,,possible_move_or_rebrand,B,high,current_sector_directory_presence,2026,not_determined,partial_or_exact_index_signal_requires_relationship_review,Residencial Las Violetas,100.0,Bulevar Artigas 2800,87.2,"El índice contiene Residencial Las Violetas en Gral. José Gervasio Artigas 172. | Aderama 2026 publica Casa Las Violetas en Bulevar Artigas 152, Paso de los Toros.",needs_google_or_ide_verification_after_deduplication,not_run,relationship_review_before_private_insert,no_new_point_until_relationship_is_resolved,https://aderama.org.uy/socios-2026/ | https://documentos.diputados.gub.uy/docs/L49/Original/03519.pdf,"Prioridad alta para resolver mudanza, renumeración, alias o segunda sede."
tacuarembo:segundo-marisel:direccion-no-identificada,Segundo Marisel,Segundo Maricel | Marisel II | Maricel II,Tacuarembó,Tacuarembó,,,missing,,,,,,possible_move_or_rebrand,C,medium,historical_identity_with_current_index_relatives,2020,not_determined,no_exact_name_or_address_match,Segunda Familia,60.0,,,"El índice contiene Residencial Maricel en 18 de Julio 848. | El índice también contiene Fantasía Maricel en Manuel Álvarez 816. | Debe determinarse si Segundo Marisel corresponde a una de esas sedes, a una sede cerrada o a una tercera puerta.",address_missing_no_geocoding,not_run,relationship_review_before_private_insert,no_new_point_until_relationship_is_resolved,https://documentos.diputados.gub.uy/docs/L49/Original/03519.pdf,"Caso de relación, no candidato importable. No asignar coordenadas."
