"conflict_id","exclusion_id","conflict_type","department","detail","source_ids","requires_human_review"
"EXC-CONFLICT-53E3E62D4232B8DB","EXC-OFFICIAL-ELP-0085","excluded_contaminated_source","Canelones","extracción PDF concatenada: nombre y dirección mezclan decenas de filas","MSPR-065-2021","true"
"EXC-CONFLICT-4881611EE9FD8F6B","EXC-OFFICIAL-ELP-0181","excluded_contaminated_source","Florida","agrupación de origen defectuosa: mezcla ELP-0180 y ELP-0182","MIDES-047|MIDES-050|MSPR-041-2018|MSPR-084-2019|MSPR-129-2019|MSPR-091-2021|PACP-012","true"
"EXC-CONFLICT-CF6BBF8392A02158","EXC-CANDIDATE-BA169C2669D2991A","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:1","true"
"EXC-CONFLICT-A6B893816967F643","EXC-CANDIDATE-A6A38721A68E9C28","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:2","true"
"EXC-CONFLICT-9AC4909327721398","EXC-CANDIDATE-3F2A4961B0F7D753","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:3","true"
"EXC-CONFLICT-E47012E2BF367BE9","EXC-CANDIDATE-5296BAD3E45FA172","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:4","true"
"EXC-CONFLICT-042C4119D2088A55","EXC-CANDIDATE-0FC5B04B4FF39099","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:5","true"
"EXC-CONFLICT-9125CDABD1F0FD32","EXC-CANDIDATE-CC1BCF8EE2673119","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:6","true"
"EXC-CONFLICT-EE52FD5D133564F3","EXC-CANDIDATE-84FD3C33DC5A9E5B","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:7","true"
"EXC-CONFLICT-BFA8A95395B6BC80","EXC-CANDIDATE-1738DE799FFD143A","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:8","true"
"EXC-CONFLICT-3F9F30BBF2DE7E76","EXC-CANDIDATE-7D33A13CEB5A3B64","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:9","true"
"EXC-CONFLICT-610F2976A1694C39","EXC-CANDIDATE-597FD2D8586456CE","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:10","true"
"EXC-CONFLICT-B6407728FC899171","EXC-CANDIDATE-597FD2D8586456CE","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:10","true"
"EXC-CONFLICT-175B2F0108A5B0CF","EXC-CANDIDATE-A94EE9E2C73BE944","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:11","true"
"EXC-CONFLICT-DBD892A0DF6686F3","EXC-CANDIDATE-9565C76BF06202F1","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:12","true"
"EXC-CONFLICT-5A1BC56A3B50353C","EXC-CANDIDATE-C3FB0FD168BE8BE0","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:13","true"
"EXC-CONFLICT-AA39EA4D2098CE59","EXC-CANDIDATE-C3FB0FD168BE8BE0","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:13","true"
"EXC-CONFLICT-C22EE9054EC79C1A","EXC-CANDIDATE-1E8B2E51C8FD1BF5","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:14","true"
"EXC-CONFLICT-4B1803828F70D9FE","EXC-CANDIDATE-1E8B2E51C8FD1BF5","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:14","true"
"EXC-CONFLICT-FD594A00788ED911","EXC-CANDIDATE-CA5C93314D98AEC3","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:15","true"
"EXC-CONFLICT-07BC1131BDDAF2B5","EXC-CANDIDATE-CA5C93314D98AEC3","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:15","true"
"EXC-CONFLICT-744D45059E2C3177","EXC-CANDIDATE-8F7DE37D85D4732A","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:16","true"
"EXC-CONFLICT-61D9E3B1808FE18D","EXC-CANDIDATE-8F7DE37D85D4732A","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:16","true"
"EXC-CONFLICT-8CA59D500CBF0B60","EXC-CANDIDATE-52DB8EDE00BCA13D","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:17","true"
"EXC-CONFLICT-FA84E21E9586DBAA","EXC-CANDIDATE-52DB8EDE00BCA13D","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:17","true"
"EXC-CONFLICT-29C3ACAC67A70751","EXC-CANDIDATE-5E1C228FD6B7EC36","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:18","true"
"EXC-CONFLICT-4386A6D1BBC6218D","EXC-CANDIDATE-5E1C228FD6B7EC36","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:18","true"
"EXC-CONFLICT-2312DC32D4316820","EXC-CANDIDATE-8CC0A84E0A508ADE","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:19","true"
"EXC-CONFLICT-16575FF569BB0F1D","EXC-CANDIDATE-8CC0A84E0A508ADE","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:19","true"
"EXC-CONFLICT-17A36B88BB78C269","EXC-CANDIDATE-487BBBC16B1414E8","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:20","true"
"EXC-CONFLICT-A26EF9551852B4F5","EXC-CANDIDATE-883F28D0E0DE0C2B","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:21","true"
"EXC-CONFLICT-05AF5B48296DD01C","EXC-CANDIDATE-883F28D0E0DE0C2B","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:21","true"
