conflict_id,conflict_type,legacy_residencial_id,official_entity_id,department,detail,requires_human_review,resolution
CONFLICT-08d8c60fc5086ffa,excluded_contaminated_source,,ELP-0085,Canelones,extracción PDF concatenada: nombre y dirección mezclan decenas de filas,true,No importado al modelo canónico.
CONFLICT-2b75972b25e0c5bb,excluded_contaminated_source,,ELP-0181,Florida,agrupación de origen defectuosa: mezcla ELP-0180 y ELP-0182,true,No importado al modelo canónico.
CONFLICT-246b94eb53a29a92,split_multivalue_contact,ELP-0002,ELP-0002,Artigas,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-dbc83e44199d8092,split_multivalue_contact,ELP-0028,ELP-0028,Canelones,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-d288cc21885282a8,split_multivalue_contact,ELP-0032,ELP-0032,Canelones,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-953fdd18d7aa3e65,split_multivalue_contact,ELP-0188,ELP-0188,Florida,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-69bb5ec44878125f,split_multivalue_contact,ELP-0198,ELP-0198,Lavalleja,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-a07e31a79c4cfdf5,split_multivalue_contact,ELP-0756,ELP-0756,San José,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-247ba214693e2c99,split_multivalue_contact,ELP-0797,ELP-0797,Soriano,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-c33a5e2dee4343c5,split_multivalue_contact,MSP24-043,ELP-0280,Montevideo,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-63b39445419ea333,address_difference,MSP24-067,ELP-0686,Montevideo,La dirección heredada difiere de la agrupación oficial vinculada.,true,Se conserva la dirección heredada como actual; la oficial permanece en la observación.
CONFLICT-9b9dff3fb0158466,split_multivalue_contact,MSP24-078,ELP-0656,Montevideo,phone: 2 valores separados conservadoramente,true,Cada valor fue almacenado en una fila; confirmar vigencia.
CONFLICT-24d0f564e1450598,address_difference,MSP24-097,ELP-0484,Montevideo,La dirección heredada difiere de la agrupación oficial vinculada.,true,Se conserva la dirección heredada como actual; la oficial permanece en la observación.
CONFLICT-05e91e8b295d4148,address_difference,MSP24-117,ELP-0421,Montevideo,La dirección heredada difiere de la agrupación oficial vinculada.,true,Se conserva la dirección heredada como actual; la oficial permanece en la observación.
CONFLICT-1bab9bf011370f44,address_difference,MSP24-168,ELP-0067,Canelones,La dirección heredada difiere de la agrupación oficial vinculada.,true,Se conserva la dirección heredada como actual; la oficial permanece en la observación.
CONFLICT-a172a74a890ffd53,address_difference,MSP24-177,ELP-0114,Colonia,La dirección heredada difiere de la agrupación oficial vinculada.,true,Se conserva la dirección heredada como actual; la oficial permanece en la observación.
