entity_id,name,department,locality,address,street,door,capacity,phone,email,legal_name,rut,highest_stage,msp_final,mides_social,msp_registro_historico,pacp,historical_certificate_count,historical_certificates,historical_first_year,historical_latest_year,latest_public_date,source_record_count,source_types_count,latitude,longitude,geocode_confidence,geocode_method,geocode_score,geocode_source,source_urls
ELP-0001,Elida Moreira De Zambiazzo,Artigas,Bella Unión,Calle 10 S/N,Calle 10,S/N,,47794340,,,,Certificado Social MIDES,False,True,True,False,1,017/2018,2018,2018,2018,2,2,-30.379497,-56.4646216,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/artigas-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0002,Hogar Don Martín,Artigas,Baltasar Brum,Nelson Cousin s/n,Nelson Cousin,S/N,14,099772757 - 99352155 23653941 - 092244302 - | 47762818 / 091939213,hogardonmartinbrum@gmail.com,,,Habilitación final MSP,True,True,True,False,1,060/2023,2023,2023,2026-06-30,3,3,-30.6534548,-57.122023,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf"", ""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/artigas-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0003,Establecimiento sin nombre publicado (034/2018),Canelones,,Tolentino González 218 / Ciudad de Canelones,Tolentino González,218 / Ciudad de Canelones,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,034/2018,2018,2018,2018,1,1,-34.5229708,-56.2782224,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0004,Abril,Canelones,Sauce,Ruta 6 Km 37000,Ruta 6,Km 37000,,22940569,,,,Certificado Social MIDES,False,True,True,False,1,095/2022,2022,2022,2024-07-15,2,2,-34.5652569,-56.0222615,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0005,ALONSO HOGAR DE ANCIANOS DRA. ROCIO STECIANO ALONSO,Canelones,SAUCE,Contitucion 2115,Contitucion,2115,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,008/2023,2023,2023,2023,1,1,-34.6499892,-56.0622221,alta,calle y puerta exacta,95,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0006,Altos del Pinar,Canelones,,Rambla Costanera M244 S2 - El Pinar,Rambla Costanera M,244 S2 - El Pinar,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,035/2018,2018,2018,2018,1,1,-34.7936815,-55.5066344,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0007,Biltmore,Canelones,Santa Lucia,Batlle Y Ordoñez 74,Batlle Y Ordoñez,74,,43349954,,,,Certificado Social MIDES,False,True,True,False,1,093/2018,2018,2018,2024-07-15,2,2,-34.7262851,-56.2203306,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0008,Bonsejour La Costa,Canelones,Solymar,Viña Del Mar M16 S27,Viña Del Mar,M16 S27,,091916222 / 099916222,,,,Certificado Social MIDES,False,True,True,False,1,023/2023,2023,2023,2024-07-15,2,2,-34.8353018,-55.9754637,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0009,Calidad de Vida,Canelones,,San José 874,San José,874,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,051/2019,2019,2019,2019,1,1,-34.7063371,-56.2190061,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0010,La Casona,Canelones,Los Cerrillos,Ruta 36 Km 37000,Ruta 36,Km 37000,,098762939 / 096566688,,,,Certificado Social MIDES,False,True,True,False,1,033/2022,2022,2022,2024-07-15,2,2,-34.6333367,-56.3361172,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0011,Centro Vital,Canelones,Solymar,Av. Gianatassio Esq. Artigas M 44 S 3,Av. Gianatassio Esq. Artigas,M 44 S 3,,26984086,,,,Certificado Social MIDES,False,True,False,False,0,,,,2024-07-15,1,1,-34.7671965,-55.8597327,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social""]"
