record_id,entity_id,source_type,source_title,source_date,source_url,source_document,source_row,department,locality,name,address,street,door,capacity,email,phone,certificate_number,certificate_year,director_technical,legal_name,rut
MSPF-001,ELP-0002,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,1,Artigas,Baltasar Brum,Hogar Don Martín,Nelson Cousin s/n,Nelson Cousin,S/N,14,hogardonmartinbrum@gmail.com,099772757 - 99352155 23653941 - 092244302 -,,,,,
MSPF-002,ELP-0067,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,2,Canelones,Las Piedras,Primavera I,Av. Artigas 365,Av. Artigas,365,14,katiapiria@hotmail.com,098632348,,,,,
MSPF-003,ELP-0028,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,3,Canelones,San Jacinto,Hogar Ana Arriola De Ado,Ruta 7 Km. 52.800,Ruta 7,Km 52.800,10,anaarrioladeado@gmail.com,094801758 - 092449072 099658237 - 23622190 -,,,,,
MSPF-004,ELP-0023,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,4,Canelones,La Paz,En Familia,Gral. Artigas 281,Gral. Artigas,281,14,natiajv@hotmail.com,099685065 098434382 - 26002601 -,,,,,
MSPF-005,ELP-0093,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,5,Canelones,Barra de Carrasco,Seniority Magna,Niteroi 948,Niteroi,948,38,magnacoordinacion@gmail.com,26003938,,,,,
MSPF-006,ELP-0044,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,6,Canelones,El Pinar,La Bonne Vie,Río Negro M 216 S 15,Río Negro M,216 S 15,25,reslabonnevie@gmail.com,26989926 - 095394278,,,,,
MSPF-007,ELP-0100,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,7,Cerro Largo,Fraile Muerto,Hogar Blanca Castro de Argencio,General Artigas,General Artigas,,24,frailemuertomfve@gmail.com,46889032,,,,,
MSPF-008,ELP-0118,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,8,Colonia,Colonia,Hogar de Ancianos Dr. Luis Mazza,Camino al Calabrés Ruta 1 Km. 173.500,Camino al Calabrés Ruta,1 Km. 173.500,32,hogarluismazza@hotmail.com,45224854 - 099521689,,,,,
MSPF-009,ELP-0129,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,9,Colonia,Carmelo,La Merced,19 de Abril 601,,19 de Abril 601,15,alvarezdibaranamaria@gmail.com,45422215 - 099542099,,,,,
MSPF-010,ELP-0121,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,10,Colonia,Juan Lacaze,Hogar Juan Lacaze,Ruta 54 Km. 2,Ruta 54,Km 2,35,hogarancianosjlacaze@gmail.com,45862376 - 094470336,,,,,
