department,metrics_status,referencia_total,conocidos_en_indice,pistas_brutas,exact_matches,probable_matches,probable_new,historical,without_address,false_positive,not_elepem,reviewed_and_imported,publicly_approved,official_sources_count,public_maps_count,public_social_sources_count,other_public_sources_count,manual_editorial_count,missing_provenance_count,closed_provisionally,automatic_publication
"Artigas","step17_closed_systematically",,"11","10","0","2","1","0","0","0","0","7","0","6","0","22","2","0","0","true","false"
"Canelones","step17_closed_systematically","316","156","75","11","0","12","0","6","2","0","58","0","21","1","11","67","0","0","true","false"
"Cerro Largo","baseline_only",,"6",,,,,,,,,,,,,,,,,"false","false"
"Colonia","baseline_only",,"45",,,,,,,,,,,,,,,,,"false","false"
"Durazno","step17_closed_systematically","31","21","36","9","9","3","9","3","1","3","10","0","21","1","7","26","0","0","true","false"
"Flores","baseline_only",,"8",,,,,,,,,,,,,,,,,"false","false"
"Florida","baseline_only",,"23",,,,,,,,,,,,,,,,,"false","false"
"Lavalleja","baseline_only",,"12",,,,,,,,,,,,,,,,,"false","false"
"Maldonado","baseline_only",,"63",,,,,,,,,,,,,,,,,"false","false"
"Montevideo","step17_partial_revalidation","537","562","86","22","0","19","0","2","2","0","59","0","3","4","20","108","0","0","false","false"
"Paysandú","step17_closed_systematically",,"44","59","0","7","0","1","2","0","0","7","0","5","1","14","2","0","0","true","false"
"Río Negro","baseline_only",,"5",,,,,,,,,,,,,,,,,"false","false"
"Rivera","baseline_only",,"3",,,,,,,,,,,,,,,,,"false","false"
"Rocha","step17_closed_systematically","43","19","22","1","1","3","0","2","1","1","14","0","9","3","20","6","0","0","true","false"
"Salto","baseline_only",,"20",,,,,,,,,,,,,,,,,"false","false"
"San José","baseline_only",,"30",,,,,,,,,,,,,,,,,"false","false"
"Soriano","baseline_only",,"11",,,,,,,,,,,,,,,,,"false","false"
"Tacuarembó","step17_closed_systematically","23","11","36","0","10","4","7","14","1","3","20","0","0","1","12","42","0","0","true","false"
"Treinta y Tres","baseline_only",,"2",,,,,,,,,,,,,,,,,"false","false"
