"schema_name","table_name","column_name","data_type","nullable","default_value","current_rows","read_by","written_by","usage_status","usage_evidence","column_comment"
"public","intake_reports","id","uuid","no","gen_random_uuid()","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","case_code","text","no","","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","source","text","no","'web'::text","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","priority","text","no","","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","department","text","yes","","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","report_payload","jsonb","no","","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","created_at","timestamp with time zone","no","now()","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL; default/now() o DML de actualización","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","current_status","text","no","'received'::text","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL","runtime_intake","SQL y cliente Supabase explícitos",""
"public","intake_reports","updated_at","timestamp with time zone","no","now()","2","app/api/intake-reports/status/route.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/notify-intake-code/index.ts; supabase/functions/upload-intake-evidence/index.ts","app/api/intake-reports/route.ts; app/api/team/intake-reports/route.ts; defaults/trigger PostgreSQL; default/now() o DML de actualización","runtime_intake","SQL y cliente Supabase explícitos",""
"public","residenciales","id","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","Identificador estable proveniente de la fuente de datos original."
